"Episode","A","B","AtoB (bit/s)","BtoA (bit/s)"
1,"10.42.0.100:46466","10.42.0.1:3000",2212.9515404972385,529.8962423026326
1,"10.42.0.100:46469","10.42.0.1:3000",250.10393281782657,101.10584518167457
1,"10.42.0.100:46468","10.42.0.1:3000",360.71637962030195,137.85999565948322
3,"10.42.0.212:35836","10.42.0.1:3000",1053.3294187225688,686.1883493510493
