"Episode","A","B","AtoB (bit/s)","BtoA (bit/s)"
2,"10.42.0.212:36044","10.42.0.1:3000",955.9964022467536,542.3733157557084
3,"10.42.0.212:36044","10.42.0.1:3000",992.0215246471249,669.0463564940584
