"Episode","A","B","AtoB (bit/s)","BtoA (bit/s)"
1,"10.42.0.212:36502","10.42.0.1:3000",760.5585617963433,429.04550783778365
1,"10.42.0.100:46565","10.42.0.1:3000",2433.842870722295,659.1621382811011
1,"10.42.0.100:46562","10.42.0.1:3000",1162.2554215589719,223.26422011355433
1,"10.42.0.100:46564","10.42.0.1:3000",3319.086474118206,1270.9925311919872
2,"10.42.0.100:46565","10.42.0.1:3000",2428.0992407651597,659.5816366245127
2,"10.42.0.212:36502","10.42.0.1:3000",503.8485853803509,195.298377311954
2,"10.42.0.100:46562","10.42.0.1:3000",2595.2090510596654,682.5828764460649
2,"10.42.0.100:46564","10.42.0.1:3000",3319.086474118206,1270.9925311919872
