"Episode","A","B","AtoB (bit/s)","BtoA (bit/s)"
1,"192.168.43.210:61127","192.168.43.124:1883",2921.143684294096,1274.403731042912
1,"127.0.0.1:51718","127.0.0.1:1883",1506.586315396512,2015.3591808436881
