"Episode","A","B","AtoB (bit/s)","BtoA (bit/s)"
1,"192.168.43.210:64246","192.168.43.124:1883",2295.393229155168,991.0908387092976
1,"127.0.0.1:51680","127.0.0.1:1883",1170.237401223727,1568.0404860502063
